filepath,age,age_group,label
face_age/005/6553.png,5,child,0
face_age/040/4387.png,40,mid,3
face_age/026/8531.png,26,youth,2
face_age/017/2739.png,17,teen,1
face_age/038/7720.png,38,mid,3
face_age/040/3122.png,40,mid,3
face_age/007/9259.png,7,child,0
face_age/021/2046.png,21,youth,2
face_age/018/9096.png,18,teen,1
face_age/008/4965.png,8,child,0
face_age/026/130.png,26,youth,2
face_age/005/8672.png,5,child,0
face_age/029/5664.png,29,youth,2
face_age/068/8939.png,68,older,5
face_age/014/8949.png,14,teen,1
face_age/004/3714.png,4,child,0
face_age/017/6438.png,17,teen,1
face_age/085/5733.png,85,older,5
face_age/073/3314.png,73,older,5
face_age/023/8641.png,23,youth,2
face_age/034/7202.png,34,mid,3
face_age/037/1967.png,37,mid,3
face_age/049/5317.png,49,mature,4
face_age/014/860.png,14,teen,1
face_age/004/9262.png,4,child,0
face_age/026/7919.png,26,youth,2
face_age/072/5494.png,72,older,5
face_age/072/6421.png,72,older,5
face_age/028/5939.png,28,youth,2
face_age/021/6329.png,21,youth,2
face_age/034/3584.png,34,mid,3
face_age/017/6367.png,17,teen,1
face_age/032/4651.png,32,mid,3
face_age/031/1669.png,31,mid,3
face_age/051/4389.png,51,mature,4
face_age/018/3579.png,18,teen,1
face_age/072/8899.png,72,older,5
face_age/015/1296.png,15,teen,1
face_age/030/4096.png,30,youth,2
face_age/060/6237.png,60,mature,4
face_age/050/4630.png,50,mature,4
face_age/019/5126.png,19,teen,1
face_age/016/7708.png,16,teen,1
face_age/026/719.png,26,youth,2
face_age/018/8998.png,18,teen,1
face_age/074/5787.png,74,older,5
face_age/083/8646.png,83,older,5
face_age/080/5604.png,80,older,5
face_age/051/3542.png,51,mature,4
face_age/052/7931.png,52,mature,4
face_age/005/1125.png,5,child,0
face_age/026/8664.png,26,youth,2
face_age/037/3091.png,37,mid,3
face_age/066/2136.png,66,older,5
face_age/042/2870.png,42,mid,3
face_age/008/4266.png,8,child,0
face_age/068/7766.png,68,older,5
face_age/024/3449.png,24,youth,2
face_age/061/524.png,61,older,5
face_age/062/2941.png,62,older,5
face_age/063/5592.png,63,older,5
face_age/075/5079.png,75,older,5
face_age/031/6731.png,31,mid,3
face_age/085/6453.png,85,older,5
face_age/060/7172.png,60,mature,4
face_age/031/5594.png,31,mid,3
face_age/036/4328.png,36,mid,3
face_age/024/9359.png,24,youth,2
face_age/034/4569.png,34,mid,3
face_age/005/3179.png,5,child,0
face_age/043/4172.png,43,mid,3
face_age/072/1002.png,72,older,5
face_age/065/256.png,65,older,5
face_age/054/8589.png,54,mature,4
face_age/075/7429.png,75,older,5
face_age/006/5007.png,6,child,0
face_age/029/3522.png,29,youth,2
face_age/066/5828.png,66,older,5
face_age/066/125.png,66,older,5
face_age/038/4683.png,38,mid,3
face_age/025/2208.png,25,youth,2
face_age/004/5975.png,4,child,0
face_age/023/6832.png,23,youth,2
face_age/065/7268.png,65,older,5
face_age/013/4183.png,13,teen,1
face_age/053/3153.png,53,mature,4
face_age/017/1961.png,17,teen,1
face_age/052/5062.png,52,mature,4
face_age/026/983.png,26,youth,2
face_age/039/5022.png,39,mid,3
face_age/075/6412.png,75,older,5
face_age/072/4591.png,72,older,5
face_age/026/4419.png,26,youth,2
face_age/004/2411.png,4,child,0
face_age/016/596.png,16,teen,1
face_age/018/1055.png,18,teen,1
face_age/084/7076.png,84,older,5
face_age/032/3190.png,32,mid,3
face_age/058/1886.png,58,mature,4
face_age/054/7104.png,54,mature,4
face_age/080/5123.png,80,older,5
face_age/092/9710.png,92,older,5
face_age/015/8463.png,15,teen,1
face_age/040/1387.png,40,mid,3
face_age/050/4995.png,50,mature,4
face_age/009/7098.png,9,child,0
face_age/030/9394.png,30,youth,2
face_age/026/7277.png,26,youth,2
face_age/025/727.png,25,youth,2
face_age/047/477.png,47,mature,4
face_age/021/4632.png,21,youth,2
face_age/017/4071.png,17,teen,1
face_age/075/6454.png,75,older,5
face_age/029/4456.png,29,youth,2
face_age/008/2447.png,8,child,0
face_age/013/5840.png,13,teen,1
face_age/022/1924.png,22,youth,2
face_age/041/2062.png,41,mid,3
face_age/038/8811.png,38,mid,3
face_age/007/7617.png,7,child,0
face_age/018/6311.png,18,teen,1
face_age/023/6722.png,23,youth,2
face_age/026/3196.png,26,youth,2
face_age/029/2330.png,29,youth,2
face_age/036/420.png,36,mid,3
face_age/080/5432.png,80,older,5
face_age/040/272.png,40,mid,3
face_age/036/486.png,36,mid,3
face_age/050/6593.png,50,mature,4
face_age/042/7071.png,42,mid,3
face_age/042/7332.png,42,mid,3
face_age/059/3869.png,59,mature,4
face_age/064/2378.png,64,older,5
face_age/067/1810.png,67,older,5
face_age/085/1661.png,85,older,5
face_age/056/3690.png,56,mature,4
face_age/007/4513.png,7,child,0
face_age/063/4382.png,63,older,5
face_age/008/8020.png,8,child,0
face_age/039/692.png,39,mid,3
face_age/053/2604.png,53,mature,4
face_age/008/7254.png,8,child,0
face_age/073/3866.png,73,older,5
face_age/069/2661.png,69,older,5
face_age/025/5245.png,25,youth,2
face_age/069/4001.png,69,older,5
face_age/062/8595.png,62,older,5
face_age/018/8685.png,18,teen,1
face_age/058/2263.png,58,mature,4
face_age/085/4908.png,85,older,5
face_age/020/1839.png,20,youth,2
face_age/026/4733.png,26,youth,2
face_age/020/3459.png,20,youth,2
face_age/054/7409.png,54,mature,4
face_age/039/1750.png,39,mid,3
face_age/083/1939.png,83,older,5
face_age/025/1856.png,25,youth,2
face_age/026/1449.png,26,youth,2
face_age/015/8092.png,15,teen,1
face_age/072/3722.png,72,older,5
face_age/041/6598.png,41,mid,3
face_age/015/5318.png,15,teen,1
face_age/069/5381.png,69,older,5
face_age/047/3980.png,47,mature,4
face_age/021/1834.png,21,youth,2
face_age/035/498.png,35,mid,3
face_age/016/3197.png,16,teen,1
face_age/070/1024.png,70,older,5
face_age/026/6118.png,26,youth,2
face_age/066/2266.png,66,older,5
face_age/063/6184.png,63,older,5
face_age/026/735.png,26,youth,2
face_age/008/4946.png,8,child,0
face_age/032/703.png,32,mid,3
face_age/096/5246.png,96,older,5
face_age/024/7190.png,24,youth,2
face_age/023/5775.png,23,youth,2
face_age/035/884.png,35,mid,3
face_age/031/8912.png,31,mid,3
face_age/013/205.png,13,teen,1
face_age/028/3853.png,28,youth,2
face_age/008/184.png,8,child,0
face_age/056/6572.png,56,mature,4
face_age/061/9374.png,61,older,5
face_age/041/4898.png,41,mid,3
face_age/051/9461.png,51,mature,4
face_age/036/4843.png,36,mid,3
face_age/014/2483.png,14,teen,1
face_age/038/7463.png,38,mid,3
face_age/050/1232.png,50,mature,4
face_age/009/7460.png,9,child,0
face_age/080/5194.png,80,older,5
face_age/016/4958.png,16,teen,1
face_age/032/2368.png,32,mid,3
face_age/025/2126.png,25,youth,2
face_age/014/5330.png,14,teen,1
face_age/013/2015.png,13,teen,1
face_age/055/3004.png,55,mature,4
face_age/028/5372.png,28,youth,2
face_age/004/8934.png,4,child,0
face_age/015/5071.png,15,teen,1
face_age/049/6394.png,49,mature,4
face_age/059/912.png,59,mature,4
face_age/010/7813.png,10,child,0
face_age/010/4614.png,10,child,0
face_age/062/6466.png,62,older,5
face_age/032/2869.png,32,mid,3
face_age/040/3618.png,40,mid,3
face_age/032/6726.png,32,mid,3
face_age/072/2286.png,72,older,5
face_age/022/3192.png,22,youth,2
face_age/059/1453.png,59,mature,4
face_age/071/1140.png,71,older,5
face_age/085/4494.png,85,older,5
face_age/096/5504.png,96,older,5
face_age/046/5094.png,46,mature,4
face_age/012/8364.png,12,child,0
face_age/047/7764.png,47,mature,4
face_age/015/7116.png,15,teen,1
face_age/004/2497.png,4,child,0
face_age/053/1717.png,53,mature,4
