filepath,age,age_group
face_age/017/7696.png,17,teen
face_age/048/2423.png,48,mature
face_age/030/1333.png,30,youth
face_age/037/409.png,37,mid
face_age/034/3517.png,34,mid
face_age/077/5421.png,77,older
face_age/025/7176.png,25,youth
face_age/029/570.png,29,youth
face_age/050/2381.png,50,mature
face_age/039/259.png,39,mid
face_age/016/7643.png,16,teen
face_age/058/286.png,58,mature
face_age/048/7265.png,48,mature
face_age/014/7959.png,14,teen
face_age/008/8889.png,8,child
face_age/014/5547.png,14,teen
face_age/012/2968.png,12,child
face_age/053/2167.png,53,mature
face_age/025/7670.png,25,youth
face_age/051/2487.png,51,mature
face_age/040/3079.png,40,mid
face_age/025/5452.png,25,youth
face_age/085/8031.png,85,older
face_age/020/6112.png,20,youth
face_age/015/6000.png,15,teen
face_age/029/845.png,29,youth
face_age/078/5546.png,78,older
face_age/059/8098.png,59,mature
face_age/016/8163.png,16,teen
face_age/060/853.png,60,mature
face_age/089/1534.png,89,older
face_age/052/1464.png,52,mature
face_age/046/4985.png,46,mature
face_age/052/3913.png,52,mature
face_age/037/8600.png,37,mid
face_age/017/1041.png,17,teen
face_age/050/265.png,50,mature
face_age/054/6117.png,54,mature
face_age/073/1952.png,73,older
face_age/053/5321.png,53,mature
face_age/010/9340.png,10,child
face_age/049/4737.png,49,mature
face_age/082/3480.png,82,older
face_age/016/2433.png,16,teen
face_age/013/1256.png,13,teen
face_age/053/7325.png,53,mature
face_age/015/9067.png,15,teen
face_age/009/3891.png,9,child
face_age/032/7697.png,32,mid
face_age/054/4397.png,54,mature
face_age/025/3101.png,25,youth
face_age/022/6279.png,22,youth
face_age/045/785.png,45,mid
face_age/021/4712.png,21,youth
face_age/036/6080.png,36,mid
face_age/068/2575.png,68,older
face_age/045/5352.png,45,mid
face_age/009/9165.png,9,child
face_age/035/290.png,35,mid
face_age/052/3770.png,52,mature
face_age/015/5607.png,15,teen
face_age/019/689.png,19,teen
face_age/026/4452.png,26,youth
face_age/077/9019.png,77,older
face_age/090/749.png,90,older
face_age/050/4654.png,50,mature
face_age/011/9162.png,11,child
face_age/013/4128.png,13,teen
face_age/054/4655.png,54,mature
face_age/025/1313.png,25,youth
face_age/008/7705.png,8,child
face_age/024/3379.png,24,youth
face_age/057/8810.png,57,mature
face_age/018/4098.png,18,teen
face_age/060/5788.png,60,mature
face_age/051/9767.png,51,mature
face_age/008/9649.png,8,child
face_age/053/7270.png,53,mature
face_age/029/3094.png,29,youth
face_age/023/1902.png,23,youth
face_age/080/5761.png,80,older
face_age/049/3815.png,49,mature
face_age/022/1454.png,22,youth
face_age/015/1861.png,15,teen
face_age/011/6019.png,11,child
face_age/004/7718.png,4,child
face_age/007/9017.png,7,child
face_age/030/4616.png,30,youth
face_age/005/3065.png,5,child
face_age/008/1310.png,8,child
face_age/066/9724.png,66,older
face_age/024/6750.png,24,youth
face_age/045/7543.png,45,mid
face_age/010/3071.png,10,child
face_age/032/9189.png,32,mid
face_age/027/8449.png,27,youth
face_age/020/9669.png,20,youth
face_age/016/5446.png,16,teen
face_age/008/4288.png,8,child
face_age/054/3892.png,54,mature
face_age/048/7669.png,48,mature
face_age/070/3683.png,70,older
face_age/009/775.png,9,child
face_age/008/4248.png,8,child
face_age/055/5076.png,55,mature
face_age/056/4581.png,56,mature
face_age/057/7962.png,57,mature
face_age/007/408.png,7,child
face_age/061/6590.png,61,older
face_age/059/1797.png,59,mature
face_age/011/1677.png,11,child
face_age/065/2666.png,65,older
